Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto;Valor m2;Tipo Agrupado
Departamento;Ate;3;1;0;98;3500.0;1424.0;1192.0;35.71;Departamento
Departamento;Jesús María;2;1;0;60;1150.0;444.0;0.0;19.17;Departamento
Departamento;Lince;3;1;2;70;1500.0;1095.0;0.0;21.43;Departamento
Departamento;San Borja;4;3;4;400;10000.0;1480.0;1000.0;25.0;Departamento
Departamento;Pachacámac;2;1;1;75;2200.0;1200.0;220.0;29.33;Departamento
Departamento;Santa Rosa;1;1;1;40;2500.0;748.0;670.0;62.5;Departamento
Habitación;Santa Rosa;1;0;0;27;1200.0;450.0;0.0;44.44;Departamento
Habitación;Villa María del Triunfo;1;0;0;25;1000.0;366.0;50.0;40.0;Departamento
Departamento;La Victoria;1;0;0;60;1700.0;260.0;0.0;28.33;Departamento
Departamento;Miraflores;3;0;0;90;2800.0;1400.0;180.0;31.11;Departamento
Departamento;Santa Rosa;3;0;0;107;3200.0;600.0;150.0;29.91;Departamento
Departamento;Ate;2;3;1;170;10000.0;2000.0;300.0;58.82;Departamento
Departamento;Chorrillos;1;0;0;49;1700.0;440.0;68.0;34.69;Departamento
Casa en condominio;Lince;4;4;2;600;30000.0;1100.0;1300.0;50.0;Casa
Departamento;San Luis;3;2;1;77;1600.0;650.0;0.0;20.78;Departamento
Departamento;San Borja;3;1;1;86;1700.0;554.0;176.0;19.77;Departamento
Departamento;Ate;3;1;1;100;7000.0;1200.0;200.0;70.0;Departamento
Departamento;Villa María del Triunfo;2;1;0;65;2600.0;700.0;85.0;40.0;Departamento
Departamento;Mi Perú;2;1;1;60;1300.0;510.0;0.0;21.67;Departamento
Casa en condominio;Lince;4;4;1;311;7500.0;970.0;686.0;24.12;Casa
Departamento;Callao;3;1;1;101;3500.0;1155.0;281.0;34.65;Departamento
Departamento;Mi Perú;2;1;0;48;900.0;340.0;0.0;18.75;Departamento
Departamento;Chorrillos;4;3;1;200;14500.0;2400.0;600.0;72.5;Departamento
Departamento;Lince;3;2;3;120;2800.0;1280.0;360.0;23.33;Departamento
Departamento;Santa Rosa;2;0;0;70;2000.0;922.0;122.0;28.57;Departamento
Departamento;Miraflores;2;1;0;180;18000.0;2500.0;6100.0;100.0;Departamento
Departamento;Miraflores;4;2;1;210;16000.0;2900.0;400.0;76.19;Departamento
Departamento;San Luis;2;1;1;68;1500.0;670.0;82.0;22.06;Departamento
Casa;Breña;5;4;2;690;10000.0;900.0;1100.0;14.49;Casa
Departamento;Lince;4;3;4;231;6900.0;2750.0;484.0;29.87;Departamento
Departamento;Miraflores;3;1;0;110;4500.0;2520.0;600.0;40.91;Departamento
Casa en condominio;San Borja;4;4;4;350;9000.0;550.0;3000.0;25.71;Casa
Departamento;Lince;3;1;1;90;3000.0;1000.0;200.0;33.33;Departamento
Departamento;Ate;1;0;0;55;3700.0;318.0;90.0;67.27;Departamento
Departamento;Lince;4;2;2;165;6000.0;1700.0;4500.0;36.36;Departamento
Departamento;Pachacámac;4;4;4;510;25000.0;6600.0;0.0;49.02;Departamento
Departamento;Ate;3;1;1;150;5000.0;1000.0;0.0;33.33;Departamento
Departamento;Carabayllo;3;2;1;168;7000.0;2172.0;460.0;41.67;Departamento
Departamento;Lince;3;3;3;236;16000.0;4200.0;1000.0;67.8;Departamento
Casa en condominio;Mi Perú;2;1;2;80;1500.0;490.0;0.0;18.75;Casa
Departamento;Barranco;2;1;1;75;1800.0;620.0;150.0;24.0;Departamento
Departamento;Ancón;1;1;1;40;2200.0;315.0;47.0;55.0;Departamento
Departamento;Miraflores;2;0;0;90;2700.0;1578.0;244.0;30.0;Departamento
Departamento;Miraflores;2;1;1;120;10000.0;1800.0;322.0;83.33;Departamento
Departamento;Lince;2;1;1;82;2500.0;1250.0;2400.0;30.49;Departamento
Departamento;Magdalena del Mar;2;1;0;59;700.0;475.0;0.0;11.86;Departamento
Departamento;Lince;2;1;1;69;2300.0;950.0;98.0;33.33;Departamento
Departamento;Miraflores;2;1;0;81;4000.0;1070.0;214.0;49.38;Departamento
Departamento;Barranco;2;0;0;65;1800.0;580.0;87.0;27.69;Departamento
Departamento;San Borja;3;2;1;101;1600.0;722.0;236.0;15.84;Departamento
Departamento;San Luis;2;1;1;69;1400.0;360.0;41.0;20.29;Departamento
Departamento;Chaclacayo;3;1;1;100;2400.0;1400.0;0.0;24.0;Departamento
Departamento;Villa María del Triunfo;4;2;0;622;15000.0;3545.0;1420.0;24.12;Departamento
Departamento;San Borja;4;4;1;400;5000.0;800.0;3500.0;12.5;Departamento
Departamento;Lince;2;1;1;90;2600.0;1100.0;242.0;28.89;Departamento
Departamento;Cieneguilla;0;0;0;32;700.0;358.0;21.0;21.88;Departamento
Departamento;Lince;4;4;4;466;16000.0;4000.0;12000.0;34.33;Departamento
Departamento;Lince;4;3;4;237;8500.0;3500.0;400.0;35.86;Departamento
Departamento;Miraflores;2;1;0;73;3300.0;2500.0;0.0;45.21;Departamento
Departamento;Ate;4;2;2;300;25000.0;2600.0;500.0;83.33;Departamento
Departamento;Villa El Salvador;3;0;0;155;2800.0;1300.0;291.0;18.06;Departamento
Departamento;Miraflores;3;2;1;200;23000.0;2200.0;0.0;115.0;Departamento
Casa;Lince;4;4;4;500;15000.0;974.0;0.0;30.0;Casa
Departamento;San Borja;3;2;1;105;2300.0;842.0;0.0;21.9;Departamento
Departamento;Villa María del Triunfo;2;1;1;86;2900.0;950.0;0.0;33.72;Departamento
Departamento;Ate;4;3;2;202;12000.0;1700.0;450.0;59.41;Departamento
Departamento;Ate;2;2;1;89;6400.0;1957.0;437.0;71.91;Departamento
Departamento;Miraflores;4;5;4;370;25000.0;7600.0;2700.0;67.57;Departamento
Departamento;Santa Rosa;1;0;0;45;1500.0;784.0;65.0;33.33;Departamento
Departamento;Lince;3;3;1;250;6000.0;2800.0;7000.0;24.0;Departamento
Departamento;Santa Rosa;1;0;0;36;2200.0;590.0;0.0;61.11;Departamento
Casa en condominio;Lince;4;4;4;341;9000.0;850.0;766.0;26.39;Casa
Departamento;Barranco;2;0;0;110;1800.0;350.0;0.0;16.36;Departamento
Departamento;Lince;2;1;1;69;2800.0;1350.0;348.0;40.58;Departamento
